questions,Spring 2012,Fall 2012,Spring 2013,Fall 2013,Spring 2014,Fall 2014,Spring 2015,Fall 2015,Fall 2016,Fall 2017 ,Overall Average\n Weighted by\n Class Size,order,questions_display
Consistent with the syllabus,4,4,3.95,3.909090909,4,3.88,3.93,4,3.95,3.71,3.946107784,z,z Consistent with the syllabus
Difficulty was appropriate,3.833333333,3.833333333,3.6,3.909090909,3.727272727,3.63,3.87,3.87,3.7,3.57,3.761497006,y,y Difficulty was appropriate
Comparable in quality to other courses,3.833333333,3.764705882,3.75,3.842105263,3.636363636,3.57,3.8,3.79,3.65,3.71,3.731922285,w,w Comparable in quality to other courses
Quantity of work was appropriate,4,3.9375,3.85,4,3.761904762,3.8,4,3.93,3.85,3.71,3.888364699,v,v Quantity of work was appropriate
Instructor knows the subject,4,4,4,3.954545455,4,4,3.93,4,3.95,4,3.981736527,u,u Instructor knows the subject
instructor well prepared,4,3.944444444,3.95,4,4,3.94,3.93,4,3.95,4,3.97,t,t instructor well prepared
Instructor presented subject matter clearly,3.666666667,3.888888889,3.5,3.863636364,3.818181818,3.56,3.93,3.93,3.95,3.86,3.795688623,s,s Instructor presented subject matter clearly
Instructor utilized the class time well,4,3.722222222,3.65,3.909090909,3.954545455,3.5,3.87,3.87,3.9,3.86,3.821077844,r,r Instructor utilized the class time well
Instructor stimulated my interest,3.916666667,3.888888889,3.8,3.954545455,3.909090909,3.73,3.93,3.8,3.5,3.86,3.824251497,q,q Instructor stimulated my interest
Instructor promoted a constructive classroom climate,4,3.888888889,3.85,3.909090909,3.954545455,3.88,4,3.93,3.9,3.86,3.916467066,p,p Instructor promoted a constructive classroom climate
Instructor was accessible outside of class,3.909090909,4,4,4,3.857142857,3.86,3.93,3.85,3.7,3.86,3.899678046,o,o Instructor was accessible outside of class
Goals of the course were clear,3.916666667,3.944444444,3.9,3.954545455,3.909090909,3.75,3.93,4,3.85,3.86,3.904011976,n,n Goals of the course were clear
Students informed how they would be evaluated,3.916666667,3.833333333,3.65,3.954545455,4,3.81,3.93,3.93,3.85,3.86,3.873532934,m,m Students informed how they would be evaluated
Critique of my work was helpful,3.916666667,3.888888889,3.9,3.863636364,3.363636364,3.75,3.93,4,3.8,3.86,3.808203593,l,l Critique of my work was helpful
Provided feedback in timely fashion,3.916666667,3.944444444,3.95,3.545454545,2.782608696,3.69,4,3.93,3.65,3.86,3.678008331,k,k Provided feedback in timely fashion
Evaluation/grading of my work was fair,4,4,3.8,3.909090909,3.857142857,3.94,4,4,3.85,4,3.921539778,j,j Evaluation/grading of my work was fair
I have a good attendance record,3.916666667,3.944444444,4,3.681818182,3.909090909,3.81,3.87,3.93,3.9,3.71,3.873832335,i,i I have a good attendance record
My participation and effort were excellent,3.833333333,3.722222222,3.5,3.454545455,3.458333333,3.31,3.8,3.47,3.65,3.29,3.551636727,h,h My participation and effort were excellent
The instructor achieved syllabus goals,4,4,3.95,3.909090909,3.909090909,3.75,3.93,3.93,3.95,4,3.92754491,g,g The instructor achieved syllabus goals
Course improved my subject matter understanding,4,3.833333333,3.75,3.772727273,3.909090909,3.56,3.93,3.93,3.8,3.86,3.825628743,f,f Course improved my subject matter understanding
Course helped me improve problem solving skills,3.666666667,3.666666667,3.75,3.681818182,3.684210526,3.53,3.67,3.71,3.55,3.86,3.666183423,e,e Course helped me improve problem solving skills
Learned to communicate more effectively,3.636363636,3.529411765,3.375,3.65,3.352941176,3.43,3.6,3.77,3.5,3.43,3.52197893,d,d Learned to communicate more effectively
Improved my ability to work well with others,3.333333333,3.4,3,3.461538462,3.363636364,2.92,3.54,3.75,3.18,2.71,3.293376324,c,c Improved my ability to work well with others
Increased my understanding of environmental sustainability,3.666666667,3.6,3.6,3.333333333,3.8,3.67,3.75,3.17,3.5,3.33,3.554271457,b,b Increased my understanding of environmental sustainability
Improved my ability to do research,3.454545455,3.733333333,3.375,3.7,3.470588235,3.13,3.53,3.79,3.65,3.57,3.543577764,a,a Improved my ability to do research
Would recommend this course to another student,3.75,3.823529412,3.85,3.9,3.909090909,3.62,4,3.93,3.65,3.57,3.817266643,3,3 Would recommend this course to another student
Would recommend this instructor to another student,3.916666667,3.944444444,3.9,3.952380952,3.954545455,3.75,4,3.93,3.8,3.71,3.897439407,2,2 Would recommend this instructor to another student
This course helped me develop a deeper cultural awareness,,,,,,,,,,3.8,3.8,1,1 This course helped me develop a deeper cultural awareness
